option,type,file
SND_ES18XX,tristate,sound/isa/Kconfig
PCMCIA_QLOGIC,tristate,drivers/scsi/pcmcia/Kconfig
SIGNED_PE_FILE_VERIFICATION,bool,crypto/asymmetric_keys/Kconfig
USB_CONFIGFS_NCM,bool,drivers/usb/gadget/Kconfig
DRM_NOUVEAU,tristate,drivers/gpu/drm/nouveau/Kconfig
FSCACHE,tristate,fs/fscache/Kconfig
COMMON_CLK_HI3519,tristate,drivers/clk/hisilicon/Kconfig
UNICODE,bool,fs/unicode/Kconfig
COMEDI_USBDUX,tristate,drivers/comedi/Kconfig
SMSGIUCV,tristate,drivers/s390/net/Kconfig
PARPORT_NOT_PC,bool,drivers/parport/Kconfig
BATTERY_LEGO_EV3,tristate,drivers/power/supply/Kconfig
TIMER_ACPI,bool,drivers/clocksource/Kconfig
NETFILTER_XT_MATCH_CPU,tristate,net/netfilter/Kconfig
MMP_DISP_CONTROLLER,bool,drivers/video/fbdev/mmp/hw/Kconfig
DVB_ISL6405,tristate,drivers/media/dvb-frontends/Kconfig
B43_BCMA_PIO,bool,drivers/net/wireless/broadcom/b43/Kconfig
AD7192,tristate,drivers/iio/adc/Kconfig
LEDS_CR0014114,tristate,drivers/leds/Kconfig
USB_XHCI_HISTB,tristate,drivers/usb/host/Kconfig
MOUSE_ELAN_I2C,tristate,drivers/input/mouse/Kconfig
USB_SNP_CORE,tristate,drivers/usb/gadget/udc/Kconfig
SET_FS,bool,arch/Kconfig
RTC_DRV_PCF85363,tristate,drivers/rtc/Kconfig
CRYPTO_CURVE25519_X86,tristate,crypto/Kconfig
SENSORS_MAX1668,tristate,drivers/hwmon/Kconfig
BLK_SED_OPAL,bool,block/Kconfig
GPIO_AMD8111,tristate,drivers/gpio/Kconfig
PHY_CADENCE_TORRENT,tristate,drivers/phy/cadence/Kconfig
ICST,bool,drivers/clk/versatile/Kconfig
SUNRPC_SWAP,bool,net/sunrpc/Kconfig
CLKSRC_SAMSUNG_PWM,bool,drivers/clocksource/Kconfig
SYNTH_EVENT_GEN_TEST,tristate,kernel/trace/Kconfig
FB_TILEBLITTING,bool,drivers/video/fbdev/Kconfig
977_WATCHDOG,tristate,drivers/watchdog/Kconfig
TCM_QLA2XXX,tristate,drivers/scsi/qla2xxx/Kconfig
KEY_DH_OPERATIONS,bool,security/keys/Kconfig
CLK_BCM_63XX,bool,drivers/clk/bcm/Kconfig
IR_MCE_KBD_DECODER,tristate,drivers/media/rc/Kconfig
MFD_RT5033,tristate,drivers/mfd/Kconfig
I2C_IMX_LPI2C,tristate,drivers/i2c/busses/Kconfig
HSR,tristate,net/hsr/Kconfig
IXGBE_DCB,bool,drivers/net/ethernet/intel/Kconfig
SPI_COLDFIRE_QSPI,tristate,drivers/spi/Kconfig
