option,type,file
UFS_FS,tristate,fs/ufs/Kconfig
REGULATOR_TPS65217,tristate,drivers/regulator/Kconfig
BLK_DEV_IDE_SATA,bool,drivers/ide/Kconfig
VM_EVENT_COUNTERS,bool,init/Kconfig
MEDIA_COMMON_OPTIONS,bool,drivers/media/common/Kconfig
NFC_MICROREAD,tristate,drivers/nfc/microread/Kconfig
ZRAM_DEF_COMP_LZO,bool,drivers/block/zram/Kconfig
HID_MAYFLASH,tristate,drivers/hid/Kconfig
TOUCHSCREEN_SX8654,tristate,drivers/input/touchscreen/Kconfig
RELAY,bool,init/Kconfig
PINCTRL_SUN50I_H6,bool,drivers/pinctrl/sunxi/Kconfig
AD9834,tristate,drivers/staging/iio/frequency/Kconfig
BATTERY_GOLDFISH,tristate,drivers/power/supply/Kconfig
IWLDVM,tristate,drivers/net/wireless/intel/iwlwifi/Kconfig
HAVE_MMIOTRACE_SUPPORT,bool,arch/x86/Kconfig.debug
SCHED_STACK_END_CHECK,bool,lib/Kconfig.debug
CLK_BT1_CCU_DIV,bool,drivers/clk/baikal-t1/Kconfig
ASUS_NB_WMI,tristate,drivers/platform/x86/Kconfig
RADIO_AZTECH,tristate,drivers/media/radio/Kconfig
SERIAL_MCF_BAUDRATE,integer,drivers/tty/serial/Kconfig
OMAP2_DSS_SDI,bool,drivers/gpu/drm/omapdrm/Kconfig
RMI4_F30,bool,drivers/input/rmi4/Kconfig
CRYPTO_DEV_QCE_SHA,bool,drivers/crypto/Kconfig
USB_GSPCA_FINEPIX,tristate,drivers/media/usb/gspca/Kconfig
RESET_SUNXI,bool,drivers/reset/Kconfig
PINCTRL_PFC_R8A77965,bool,drivers/pinctrl/renesas/Kconfig
SND_AD1816A,tristate,sound/isa/Kconfig
CRYPTO_ECB,tristate,crypto/Kconfig
SND_SOC_TLV320AIC32X4,tristate,sound/soc/codecs/Kconfig
SND_SOC_QDSP6_ASM_DAI,tristate,sound/soc/qcom/Kconfig
USB_GSPCA_ETOMS,tristate,drivers/media/usb/gspca/Kconfig
MTD_SPEAR_SMI,tristate,drivers/mtd/devices/Kconfig
KEYBOARD_IPAQ_MICRO,tristate,drivers/input/keyboard/Kconfig
COPS_DAYNA,bool,drivers/net/appletalk/Kconfig
CRYPTO_SHA512_SSSE3,tristate,crypto/Kconfig
ACPI_SYSTEM_POWER_STATES_SUPPORT,bool,drivers/acpi/Kconfig
REGULATOR_MAX77693,tristate,drivers/regulator/Kconfig
MFD_PALMAS,bool,drivers/mfd/Kconfig
WLAN_VENDOR_BROADCOM,bool,drivers/net/wireless/broadcom/Kconfig
OMAP2_DSS_DSI,bool,drivers/gpu/drm/omapdrm/Kconfig
PM_STD_PARTITION,string,kernel/power/Kconfig
VIDEO_TEGRA,tristate,drivers/staging/media/tegra-video/Kconfig
SND_SOC_ARNDALE,tristate,sound/soc/samsung/Kconfig
SQUASHFS_LZO,bool,fs/squashfs/Kconfig
BMI088_ACCEL,tristate,drivers/iio/accel/Kconfig
PMAC_BACKLIGHT_LEGACY,bool,drivers/macintosh/Kconfig
SND_DYNAMIC_MINORS,bool,sound/core/Kconfig
FUJITSU_LAPTOP,tristate,drivers/platform/x86/Kconfig
NET_DSA_MICROCHIP_KSZ9477_SPI,tristate,drivers/net/dsa/microchip/Kconfig
TCM_FILEIO,tristate,drivers/target/Kconfig
SND_PCM_IEC958,bool,sound/core/Kconfig
NET_VENDOR_XIRCOM,bool,drivers/net/ethernet/xircom/Kconfig
FB_BOTH_ENDIAN,bool,drivers/video/fbdev/Kconfig
GENERIC_FIND_FIRST_BIT,bool,lib/Kconfig
MAX5432,tristate,drivers/iio/potentiometer/Kconfig
SCSI_STEX,tristate,drivers/scsi/Kconfig
BT_HCIUART_AG6XX,bool,drivers/bluetooth/Kconfig
6LOWPAN_NHC_HOP,tristate,net/6lowpan/Kconfig
VIDEO_MT9T001,tristate,drivers/media/i2c/Kconfig
HOTPLUG_PCI_CPCI_ZT5550,tristate,drivers/pci/hotplug/Kconfig
RTC_DRV_TEGRA,tristate,drivers/rtc/Kconfig
BT_HCIUART_ATH3K,bool,drivers/bluetooth/Kconfig
X86_INTEL_MID,bool,arch/x86/Kconfig
DM_DUST,tristate,drivers/md/Kconfig
I2C_SLAVE,bool,drivers/i2c/Kconfig
FSL_DPAA2_PTP_CLOCK,tristate,drivers/net/ethernet/freescale/dpaa2/Kconfig
NF_CONNTRACK_AMANDA,tristate,net/netfilter/Kconfig
SND_ATIIXP_MODEM,tristate,sound/pci/Kconfig
VIRTIO_VDPA,tristate,drivers/virtio/Kconfig
HID_NTI,tristate,drivers/hid/Kconfig
DEBUG_FS,bool,lib/Kconfig.debug
UNISYS_VISORBUS,tristate,drivers/visorbus/Kconfig
RDMA_RXE,tristate,drivers/infiniband/sw/rxe/Kconfig
ARM_BRCMSTB_AVS_CPUFREQ,tristate,drivers/cpufreq/Kconfig.arm
ATMEL_AIC5_IRQ,bool,drivers/irqchip/Kconfig
CLK_BCM_SR,bool,drivers/clk/bcm/Kconfig
DRM_PANEL_TRULY_NT35597_WQXGA,tristate,drivers/gpu/drm/panel/Kconfig
FEALNX,tristate,drivers/net/ethernet/Kconfig
ACPI_EXTLOG,tristate,drivers/acpi/Kconfig
USB_FUNCTIONFS_RNDIS,bool,drivers/usb/gadget/legacy/Kconfig
NET_VENDOR_AMD,bool,drivers/net/ethernet/amd/Kconfig
HAVE_KERNEL_LZ4,bool,init/Kconfig
NET_PKTGEN,tristate,net/Kconfig
HP_WMI,tristate,drivers/platform/x86/Kconfig
INTEL_ISH_HID,tristate,drivers/hid/intel-ish-hid/Kconfig
SND_SOC_LOWLAND,tristate,sound/soc/samsung/Kconfig
MTD_NAND_DENALI_PCI,tristate,drivers/mtd/nand/raw/Kconfig
USB_SERIAL_EDGEPORT,tristate,drivers/usb/serial/Kconfig
TI_PRUSS,tristate,drivers/soc/ti/Kconfig
KRAIT_CLOCKS,bool,drivers/clk/qcom/Kconfig
DRM_TTM,tristate,drivers/gpu/drm/Kconfig
SNI_NETSEC,tristate,drivers/net/ethernet/socionext/Kconfig
ARM_TEGRA124_CPUFREQ,bool,drivers/cpufreq/Kconfig.arm
BASE_FULL,bool,init/Kconfig
FB_CFB_IMAGEBLIT,tristate,drivers/video/fbdev/Kconfig
CRYPTO_DEV_ATMEL_TDES,tristate,drivers/crypto/Kconfig
PHY_QCOM_USB_SNPS_FEMTO_V2,tristate,drivers/phy/qualcomm/Kconfig
MAX5487,tristate,drivers/iio/potentiometer/Kconfig
TWL6030_USB,tristate,drivers/usb/phy/Kconfig
SND_SOC_MSM8996,tristate,sound/soc/qcom/Kconfig
DRM_SII902X,tristate,drivers/gpu/drm/bridge/Kconfig
PINCTRL_APQ8064,tristate,drivers/pinctrl/qcom/Kconfig
ZLIB_DEFLATE,tristate,lib/Kconfig
NFT_REJECT_INET,tristate,net/netfilter/Kconfig
SUNRPC,tristate,net/sunrpc/Kconfig
SOLARIS_X86_PARTITION,bool,block/partitions/Kconfig
MLXSW_CORE,tristate,drivers/net/ethernet/mellanox/mlxsw/Kconfig
DMA_FENCE_TRACE,bool,drivers/base/Kconfig
ARM_CCI_PMU,tristate,drivers/perf/Kconfig
ARCNET_RAW,tristate,drivers/net/arcnet/Kconfig
TOUCHSCREEN_TSC2007_IIO,bool,drivers/input/touchscreen/Kconfig
DEFAULT_BIC,bool,net/ipv4/Kconfig
SND_SPEAR_SPDIF_IN,tristate,sound/soc/spear/Kconfig
PMIC_DA903X,bool,drivers/mfd/Kconfig
SCSI_DH_RDAC,tristate,drivers/scsi/device_handler/Kconfig
AIC79XX_BUILD_FIRMWARE,bool,drivers/scsi/aic7xxx/Kconfig.aic79xx
SERIAL_MUX,tristate,drivers/tty/serial/Kconfig
SENSORS_W83795,tristate,drivers/hwmon/Kconfig
USB_DUMMY_HCD,tristate,drivers/usb/gadget/udc/Kconfig
XFRM_INTERFACE,tristate,net/xfrm/Kconfig
BATTERY_BQ27XXX,tristate,drivers/power/supply/Kconfig
PHY_OCELOT_SERDES,tristate,drivers/phy/mscc/Kconfig
SENSORS_Q54SJ108A2,tristate,drivers/hwmon/pmbus/Kconfig
AFIUCV,tristate,net/iucv/Kconfig
X86_P4_CLOCKMOD,tristate,drivers/cpufreq/Kconfig.x86
RPMSG_NS,tristate,drivers/rpmsg/Kconfig
CIFS_DEBUG2,bool,fs/cifs/Kconfig
SND_SOC_ADAU1761_SPI,tristate,sound/soc/codecs/Kconfig
COMMON_CLK_NXP,bool,drivers/clk/Kconfig
REGULATOR_STPMIC1,tristate,drivers/regulator/Kconfig
INPUT_ATI_REMOTE2,tristate,drivers/input/misc/Kconfig
RTC_DRV_AS3722,tristate,drivers/rtc/Kconfig
I2C_MT7621,tristate,drivers/i2c/busses/Kconfig
VCC,tristate,drivers/tty/Kconfig
CNIC,tristate,drivers/net/ethernet/broadcom/Kconfig
BLK_DEV_MAC_IDE,tristate,drivers/ide/Kconfig
X86_F00F_BUG,bool,arch/x86/Kconfig.cpu
PCIE_IPROC_MSI,bool,drivers/pci/controller/Kconfig
ACPI_TABLE_UPGRADE,bool,drivers/acpi/Kconfig
CRYPTO_DEV_STM32_HASH,tristate,drivers/crypto/stm32/Kconfig
BATTERY_S3C_ADC,tristate,drivers/power/supply/Kconfig
RSI_SDIO,tristate,drivers/net/wireless/rsi/Kconfig
PHY_RCAR_GEN3_USB3,tristate,drivers/phy/renesas/Kconfig
DRM_I810,tristate,drivers/gpu/drm/Kconfig
GPIO_74XX_MMIO,tristate,drivers/gpio/Kconfig
OSF_PARTITION,bool,block/partitions/Kconfig
MFD_STA2X11,bool,drivers/mfd/Kconfig
HID_MALTRON,tristate,drivers/hid/Kconfig
ARCH_USES_HIGH_VMA_FLAGS,bool,mm/Kconfig
PINCTRL_SPEAR_PLGPIO,bool,drivers/pinctrl/spear/Kconfig
LEDS_TRIGGER_AUDIO,tristate,drivers/leds/trigger/Kconfig
RSEQ,bool,init/Kconfig
NLS_CODEPAGE_864,tristate,fs/nls/Kconfig
TOUCHSCREEN_CY8CTMG110,tristate,drivers/input/touchscreen/Kconfig
IIO_BUFFER,bool,drivers/iio/Kconfig
IWL3945,tristate,drivers/net/wireless/intel/iwlegacy/Kconfig
IP_VS_LBLCR,tristate,net/netfilter/ipvs/Kconfig
ZCRYPT_DEBUG,bool,drivers/crypto/Kconfig
GPIO_SYSFS,bool,drivers/gpio/Kconfig
BE2NET_SKYHAWK,bool,drivers/net/ethernet/emulex/benet/Kconfig
HP_WIRELESS,tristate,drivers/platform/x86/Kconfig
USB_YUREX,tristate,drivers/usb/misc/Kconfig
PINCTRL_BCM281XX,bool,drivers/pinctrl/bcm/Kconfig
XEN_BACKEND,bool,drivers/xen/Kconfig
FW_LOADER,tristate,drivers/base/firmware_loader/Kconfig
ATH11K_SPECTRAL,bool,drivers/net/wireless/ath/ath11k/Kconfig
SECURITY_WRITABLE_HOOKS,bool,security/Kconfig
IIO_SW_DEVICE,tristate,drivers/iio/Kconfig
DRM_I915_DEBUG_GUC,bool,drivers/gpu/drm/i915/Kconfig.debug
MODULE_SIG_SHA256,bool,init/Kconfig
EXYNOS_IOMMU,bool,drivers/iommu/Kconfig
USB_G_DBGP_SERIAL,bool,drivers/usb/gadget/legacy/Kconfig
IP6_NF_NAT,tristate,net/ipv6/netfilter/Kconfig
RTC_DRV_WM8350,tristate,drivers/rtc/Kconfig
REGULATOR_STM32_PWR,bool,drivers/regulator/Kconfig
TI_SOC_THERMAL,tristate,drivers/thermal/ti-soc-thermal/Kconfig
PINCTRL_K210,bool,drivers/pinctrl/Kconfig
LTC2471,tristate,drivers/iio/adc/Kconfig
LEDS_LM3697,tristate,drivers/leds/Kconfig
RANDOMIZE_MEMORY_PHYSICAL_PADDING,hex,arch/x86/Kconfig
SENSORS_ADS7828,tristate,drivers/hwmon/Kconfig
KALLSYMS,bool,init/Kconfig
COMMON_CLK,bool,drivers/clk/Kconfig
ICP10100,tristate,drivers/iio/pressure/Kconfig
CAN_FLEXCAN,tristate,drivers/net/can/Kconfig
DEFAULT_BBR,bool,net/ipv4/Kconfig
USB_GSPCA_SPCA501,tristate,drivers/media/usb/gspca/Kconfig
MTD_NAND_FSMC,tristate,drivers/mtd/nand/raw/Kconfig
HOTPLUG_PCI_PCIE,bool,drivers/pci/pcie/Kconfig
BMG160_I2C,tristate,drivers/iio/gyro/Kconfig
RTC_DRV_RV8803,tristate,drivers/rtc/Kconfig
STACKPROTECTOR_STRONG,bool,arch/Kconfig
FB_MX3,tristate,drivers/video/fbdev/Kconfig
SERIAL_ATMEL_CONSOLE,bool,drivers/tty/serial/Kconfig
USB_ISP1760_GADGET_ROLE,bool,drivers/usb/isp1760/Kconfig
CRC32_BIT,bool,lib/Kconfig
GENERIC_ATOMIC64,bool,lib/Kconfig
VIDEO_IMX334,tristate,drivers/media/i2c/Kconfig
APNE,tristate,drivers/net/ethernet/8390/Kconfig
PCI,bool,drivers/pci/Kconfig
MMAP_ALLOW_UNINITIALIZED,bool,init/Kconfig
INTERVAL_TREE_TEST,tristate,lib/Kconfig.debug
RTC_HCTOSYS_DEVICE,string,drivers/rtc/Kconfig
HAVE_ARCH_COMPILER_H,bool,arch/Kconfig
REGULATOR_LOCHNAGAR,tristate,drivers/regulator/Kconfig
CONTIG_ALLOC,bool,mm/Kconfig
CRYPTO_XTS,tristate,crypto/Kconfig
SENSORS_ZL6100,tristate,drivers/hwmon/pmbus/Kconfig
DEBUG_INFO_COMPRESSED,bool,lib/Kconfig.debug
USB_MUSB_MEDIATEK,tristate,drivers/usb/musb/Kconfig
SND_SOC_RL6231,tristate,sound/soc/codecs/Kconfig
CLKSRC_STM32,bool,drivers/clocksource/Kconfig
PPS_DEBUG,bool,drivers/pps/Kconfig
PWM,bool,drivers/pwm/Kconfig
COMMON_CLK_MT8183_IPU_CORE0,bool,drivers/clk/mediatek/Kconfig
BATTERY_DS2781,tristate,drivers/power/supply/Kconfig
CHARGER_PCF50633,tristate,drivers/power/supply/Kconfig
NETFILTER_XT_MATCH_RECENT,tristate,net/netfilter/Kconfig
SHADOW_CALL_STACK,bool,arch/Kconfig
PINCTRL_BM1880,bool,drivers/pinctrl/Kconfig
ADB,bool,drivers/macintosh/Kconfig
SND_SOC_SOF_PROBE_WORK_QUEUE,bool,sound/soc/sof/Kconfig
MATH_EMULATION,bool,arch/x86/Kconfig
DECOMPRESS_XZ,tristate,lib/Kconfig
TEGRA210_EMC,tristate,drivers/memory/tegra/Kconfig
COMMON_CLK_MESON_VID_PLL_DIV,tristate,drivers/clk/meson/Kconfig
SERIAL_DEV_CTRL_TTYPORT,bool,drivers/tty/serdev/Kconfig
PCI_QUIRKS,bool,drivers/pci/Kconfig
BT_BCM,tristate,drivers/bluetooth/Kconfig
NETFILTER_XT_MATCH_PKTTYPE,tristate,net/netfilter/Kconfig
ARCH_R8A7790,bool,drivers/soc/renesas/Kconfig
BLK_DEV_SIIMAGE,tristate,drivers/ide/Kconfig
INFINIBAND_USNIC,tristate,drivers/infiniband/hw/usnic/Kconfig
MII,tristate,drivers/net/Kconfig
LEDS_IS31FL319X,tristate,drivers/leds/Kconfig
SERIAL_MVEBU_UART,bool,drivers/tty/serial/Kconfig
KEYBOARD_TCA8418,tristate,drivers/input/keyboard/Kconfig
HZ_300,bool,kernel/Kconfig.hz
GPIO_MOCKUP,tristate,drivers/gpio/Kconfig
ATARILANCE,tristate,drivers/net/ethernet/amd/Kconfig
SIGNALFD,bool,init/Kconfig
FONT_SUN12x22,bool,lib/fonts/Kconfig
ADXL372_SPI,tristate,drivers/iio/accel/Kconfig
REGULATOR_MAX8997,tristate,drivers/regulator/Kconfig
NET_CORE,bool,drivers/net/Kconfig
TIMER_IMX_SYS_CTR,bool,drivers/clocksource/Kconfig
MOUSE_PS2_ALPS,bool,drivers/input/mouse/Kconfig
BPF_JIT_DEFAULT_ON,bool,kernel/bpf/Kconfig
VIDEO_CPIA2,tristate,drivers/media/usb/cpia2/Kconfig
KEXEC_CORE,bool,arch/Kconfig
SENSORS_AMS,tristate,drivers/macintosh/Kconfig
STPMIC1_WATCHDOG,tristate,drivers/watchdog/Kconfig
HAVE_UNSTABLE_SCHED_CLOCK,bool,init/Kconfig
EXT4_FS,tristate,fs/ext4/Kconfig
FB_PS3_DEFAULT_SIZE_M,integer,drivers/video/fbdev/Kconfig
MAC80211_DEBUGFS,bool,net/mac80211/Kconfig
INTEL_IOMMU_BROKEN_GFX_WA,bool,drivers/iommu/intel/Kconfig
NET_SCH_DRR,tristate,net/sched/Kconfig
SND_SOC_RT298,tristate,sound/soc/codecs/Kconfig
SENSORS_LTC4151,tristate,drivers/hwmon/Kconfig
BRIDGE_EBT_802_3,tristate,net/bridge/netfilter/Kconfig
KEYBOARD_LPC32XX,tristate,drivers/input/keyboard/Kconfig
SAMPLE_WATCH_QUEUE,bool,samples/Kconfig
DP83TC811_PHY,tristate,drivers/net/phy/Kconfig
FAT_DEFAULT_UTF8,bool,fs/fat/Kconfig
DELL_SMBIOS_SMM,bool,drivers/platform/x86/dell/Kconfig
SND_SOC_IMX_SGTL5000,tristate,sound/soc/fsl/Kconfig
CPU5_WDT,tristate,drivers/watchdog/Kconfig
INFINIBAND_VMWARE_PVRDMA,tristate,drivers/infiniband/hw/vmw_pvrdma/Kconfig
LCD_OTM3225A,tristate,drivers/video/backlight/Kconfig
MEMORY_BALLOON,bool,mm/Kconfig
CRYPTO_DEV_ZYNQMP_AES,tristate,drivers/crypto/Kconfig
ST_IRQCHIP,bool,drivers/irqchip/Kconfig
DMARD06,tristate,drivers/iio/accel/Kconfig
COMEDI_NI_65XX,tristate,drivers/comedi/Kconfig
MMC_USDHI6ROL0,tristate,drivers/mmc/host/Kconfig
SERIAL_SC16IS7XX_SPI,bool,drivers/tty/serial/Kconfig
TOUCHSCREEN_MIGOR,tristate,drivers/input/touchscreen/Kconfig
UNINLINE_SPIN_UNLOCK,bool,kernel/Kconfig.locks
SUN8I_A83T_CCU,bool,drivers/clk/sunxi-ng/Kconfig
FB_LE80578,tristate,drivers/video/fbdev/Kconfig
CIO2_BRIDGE,bool,drivers/media/pci/intel/ipu3/Kconfig
VIDEO_CX88_BLACKBIRD,tristate,drivers/media/pci/cx88/Kconfig
MFD_SEC_CORE,tristate,drivers/mfd/Kconfig
BLK_DEV_GENERIC,tristate,drivers/ide/Kconfig
SND_SOC_PCM512x_SPI,tristate,sound/soc/codecs/Kconfig
HAVE_HW_BREAKPOINT,bool,arch/Kconfig
KRETPROBES,bool,arch/Kconfig
SND_JACK_INPUT_DEV,bool,sound/core/Kconfig
IBM_EMAC_ZMII,bool,drivers/net/ethernet/ibm/emac/Kconfig
SCSI_MYRS,tristate,drivers/scsi/Kconfig
MTD_LPDDR,tristate,drivers/mtd/lpddr/Kconfig
RCU_TORTURE_TEST,tristate,kernel/rcu/Kconfig.debug
CRYPTO_SHA1,tristate,crypto/Kconfig
ARCH_HAS_DMA_CLEAR_UNCACHED,bool,arch/Kconfig
PINCTRL_ZYNQ,bool,drivers/pinctrl/Kconfig
USB_FOTG210_HCD,tristate,drivers/usb/host/Kconfig
MXC_CLK_SCU,tristate,drivers/clk/imx/Kconfig
SERIAL_EARLYCON_RISCV_SBI,bool,drivers/tty/serial/Kconfig
MFD_MT6397,tristate,drivers/mfd/Kconfig
GPIO_104_DIO_48E,tristate,drivers/gpio/Kconfig
ARM_PSCI_CPUIDLE_DOMAIN,bool,drivers/cpuidle/Kconfig.arm
HID_PENMOUNT,tristate,drivers/hid/Kconfig
MOUSE_PS2_OLPC,bool,drivers/input/mouse/Kconfig
IPMI_WATCHDOG,tristate,drivers/char/ipmi/Kconfig
MD_CLUSTER,tristate,drivers/md/Kconfig
DRM_TDFX,tristate,drivers/gpu/drm/Kconfig
VIDEO_DW9714,tristate,drivers/media/i2c/Kconfig
HAVE_RAPIDIO,bool,drivers/rapidio/Kconfig
JOYSTICK_JOYDUMP,tristate,drivers/input/joystick/Kconfig
FSL_DPAA2_ETH_DCB,bool,drivers/net/ethernet/freescale/dpaa2/Kconfig
BACKLIGHT_HP700,tristate,drivers/video/backlight/Kconfig
INFINIBAND_USER_ACCESS,tristate,drivers/infiniband/Kconfig
NET_DSA_MT7530,tristate,drivers/net/dsa/Kconfig
VMWARE_VMCI,tristate,drivers/misc/vmw_vmci/Kconfig
USB_MUSB_HOST,bool,drivers/usb/musb/Kconfig
SERIAL_LITEUART_CONSOLE,bool,drivers/tty/serial/Kconfig
CHELSIO_T4_DCB,bool,drivers/net/ethernet/chelsio/Kconfig
BPQETHER,tristate,drivers/net/hamradio/Kconfig
OLPC,bool,arch/x86/Kconfig
I2C_THUNDERX,tristate,drivers/i2c/busses/Kconfig
SATA_DWC_DEBUG,bool,drivers/ata/Kconfig
USB_ADUTUX,tristate,drivers/usb/misc/Kconfig
BT_HCIUART_NOKIA,tristate,drivers/bluetooth/Kconfig
HNS3_DCB,bool,drivers/net/ethernet/hisilicon/Kconfig
SPEAKUP_SYNTH_ACNTPC,tristate,drivers/accessibility/speakup/Kconfig
VIDEO_UDA1342,tristate,drivers/media/i2c/Kconfig
HSI_BOARDINFO,bool,drivers/hsi/Kconfig
COMMON_CLK_QCOM,tristate,drivers/clk/qcom/Kconfig
TOUCHSCREEN_SUN4I,tristate,drivers/input/touchscreen/Kconfig
KGDB_LOW_LEVEL_TRAP,bool,lib/Kconfig.kgdb
CRYPTO_DEV_BCM_SPU,tristate,drivers/crypto/Kconfig
IPV6_RPL_LWTUNNEL,bool,net/ipv6/Kconfig
MT7601U,tristate,drivers/net/wireless/mediatek/mt7601u/Kconfig
CAN_C_CAN_PLATFORM,tristate,drivers/net/can/c_can/Kconfig
ARCH_WANT_GENERAL_HUGETLB,bool,arch/x86/Kconfig
COMMON_CLK_XGENE,bool,drivers/clk/Kconfig
SENSORS_SMSC47M192,tristate,drivers/hwmon/Kconfig
MFD_TPS65218,tristate,drivers/mfd/Kconfig
NET_DSA_VITESSE_VSC73XX_SPI,tristate,drivers/net/dsa/Kconfig
ADT7316_SPI,tristate,drivers/staging/iio/addac/Kconfig
V4L2_JPEG_HELPER,tristate,drivers/media/v4l2-core/Kconfig
SENSORS_W83795_FANCTRL,bool,drivers/hwmon/Kconfig
ARCH_R8A779A0,bool,drivers/soc/renesas/Kconfig
PRIME_NUMBERS,tristate,lib/math/Kconfig
BCH_CONST_PARAMS,bool,lib/Kconfig
FB_TFT_SSD1305,tristate,drivers/staging/fbtft/Kconfig
DRM_I2C_ADV7511_CEC,bool,drivers/gpu/drm/bridge/adv7511/Kconfig
WIREGUARD,tristate,drivers/net/Kconfig
NLS_KOI8_U,tristate,fs/nls/Kconfig
RADIO_SHARK2,tristate,drivers/media/radio/Kconfig
CRC8,tristate,lib/Kconfig
BLK_DEV_ZONED,bool,block/Kconfig
SND_SOC_CS42L51,tristate,sound/soc/codecs/Kconfig
SENSORS_SCH5636,tristate,drivers/hwmon/Kconfig
PKCS7_TEST_KEY,tristate,crypto/asymmetric_keys/Kconfig
USB_BELKIN,bool,drivers/net/usb/Kconfig
NET_DSA_QCA8K,tristate,drivers/net/dsa/Kconfig
CRYPTO_LIB_BLAKE2S,tristate,lib/crypto/Kconfig
SATA_PMP,bool,drivers/ata/Kconfig
XZ_DEC,tristate,lib/xz/Kconfig
SMS_SIANO_DEBUGFS,bool,drivers/media/common/siano/Kconfig
IPW2100_MONITOR,bool,drivers/net/wireless/intel/ipw2x00/Kconfig
QLA3XXX,tristate,drivers/net/ethernet/qlogic/Kconfig
SND_MESON_CARD_UTILS,tristate,sound/soc/meson/Kconfig
BPF_LSM,bool,kernel/bpf/Kconfig
RTL8192U,tristate,drivers/staging/rtl8192u/Kconfig
SUN9I_A80_CCU,bool,drivers/clk/sunxi-ng/Kconfig
SND_SOC_DB1200,tristate,sound/soc/au1x/Kconfig
CAN_VCAN,tristate,drivers/net/can/Kconfig
SBNI,tristate,drivers/net/wan/Kconfig
DPTF_POWER,tristate,drivers/acpi/dptf/Kconfig
GREYBUS_FIRMWARE,tristate,drivers/staging/greybus/Kconfig
DRM_PANEL_TPO_TPG110,tristate,drivers/gpu/drm/panel/Kconfig
ATH_COMMON,tristate,drivers/net/wireless/ath/Kconfig
CLKSRC_JCORE_PIT,bool,drivers/clocksource/Kconfig
NET_VENDOR_TI,bool,drivers/net/ethernet/ti/Kconfig
COMMON_CLK_MT6779_MMSYS,bool,drivers/clk/mediatek/Kconfig
CROS_EC_LPC,tristate,drivers/platform/chrome/Kconfig
LOCKD_V4,bool,fs/Kconfig
WKUP_M3_RPROC,tristate,drivers/remoteproc/Kconfig
SENSORS_LTC2945,tristate,drivers/hwmon/Kconfig
DUMMY,tristate,drivers/net/Kconfig
SCSI_ACORNSCSI_3,tristate,drivers/scsi/arm/Kconfig
MWINCHIP3D,bool,arch/x86/Kconfig.cpu
EDAC_IGEN6,tristate,drivers/edac/Kconfig
SND_SOC_AK5558,tristate,sound/soc/codecs/Kconfig
SECURITY_TOMOYO_OMIT_USERSPACE_LOADER,bool,security/tomoyo/Kconfig
DEV_DAX_HMEM_DEVICES,bool,drivers/dax/Kconfig
MFD_MADERA_I2C,tristate,drivers/mfd/Kconfig
COMEDI_TESTS_NI_ROUTES,tristate,drivers/comedi/Kconfig
PCIE_RCAR_HOST,bool,drivers/pci/controller/Kconfig
CODA_FS,tristate,fs/coda/Kconfig
SND_SOC_SOF_INTEL_ICL,tristate,sound/soc/sof/intel/Kconfig
DRM_LONTIUM_LT9611UXC,tristate,drivers/gpu/drm/bridge/Kconfig
W1_SLAVE_DS2431,tristate,drivers/w1/slaves/Kconfig
TEST_HMM,tristate,lib/Kconfig.debug
ADI_AXI_ADC,tristate,drivers/iio/adc/Kconfig
MCF8390,tristate,drivers/net/ethernet/8390/Kconfig
NET_VENDOR_ALACRITECH,bool,drivers/net/ethernet/alacritech/Kconfig
I2C_MUX_MLXCPLD,tristate,drivers/i2c/muxes/Kconfig
KEYBOARD_CLPS711X,tristate,drivers/input/keyboard/Kconfig
MODULE_SIG_SHA1,bool,init/Kconfig
LEDS_LM3530,tristate,drivers/leds/Kconfig
DVB_TUNER_CX24113,tristate,drivers/media/dvb-frontends/Kconfig
BRIDGE_EBT_MARK_T,tristate,net/bridge/netfilter/Kconfig
CRYPTO_DEV_ALLWINNER,bool,drivers/crypto/allwinner/Kconfig
INTERCONNECT_SAMSUNG,bool,drivers/interconnect/samsung/Kconfig
FPGA_DFL_EMIF,tristate,drivers/memory/Kconfig
WATCHDOG,bool,drivers/watchdog/Kconfig
BATTERY_MAX17042,tristate,drivers/power/supply/Kconfig
SCSI_ADVANSYS,tristate,drivers/scsi/Kconfig
USB_PXA25X_SMALL,bool,drivers/usb/gadget/udc/Kconfig
DVB_B2C2_FLEXCOP_PCI,tristate,drivers/media/pci/b2c2/Kconfig
INTEL_TCC_COOLING,tristate,drivers/thermal/intel/Kconfig
SND_AOA_FABRIC_LAYOUT,tristate,sound/aoa/fabrics/Kconfig
COMMON_CLK_MT2712_VDECSYS,bool,drivers/clk/mediatek/Kconfig
SENSORS_IR38064,tristate,drivers/hwmon/pmbus/Kconfig
MT7663_USB_SDIO_COMMON,tristate,drivers/net/wireless/mediatek/mt76/mt7615/Kconfig
MOUSE_ATARI,tristate,drivers/input/mouse/Kconfig
RING_BUFFER_ALLOW_SWAP,bool,kernel/trace/Kconfig
MFD_RN5T618,tristate,drivers/mfd/Kconfig
HAS_IOMEM,bool,lib/Kconfig
SCSI_MAC_ESP,tristate,drivers/scsi/Kconfig
ACPI_GENERIC_GSI,bool,drivers/acpi/Kconfig
SND_RAWMIDI,tristate,sound/core/Kconfig
PINCTRL_EXYNOS,bool,drivers/pinctrl/samsung/Kconfig
